name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
horizon forbidden west,,,,,,,,,,,,,,,,,,,Horizon Forbidden West™ Complete Edition,"Guerrilla Games, Nixxes Software",PlayStation Publishing LLC,249.9,249.9,0.0,
human fall flat,Human Fall Flat,No Brakes Games,Curve Games,37.99,37.99,0.0,950.0,202253.0,15000000.0,94.67,84.0,,,,,,,,,,,,,,
hunt showdown 1896,Hunt: Showdown 1896,Crytek,Crytek,87.99,87.99,0.0,6300.0,181110.0,15000000.0,72.96,616.0,,,,,,,,,,,,,,
icewind dale,,,,,,,,,,,,Icewind Dale: Enhanced Edition,Beamdog,Beamdog,36.99,36.99,0.0,82.0,,,,,,,
icewind dale 2,,,,,,,,,,,,Icewind Dale 2 Complete,Black Isle Studios,Hasbro Inc.,19.99,19.99,0.0,90.0,,,,,,,
indiana jones and the fate of atlantis,,,,,,,,,,,,Indiana Jones® and the Fate of Atlantis™,Lucasfilm,Disney,20.49,20.49,0.0,96.0,,,,,,,
it takes two,,,,,,,,,,,,,,,,,,,It Takes Two,Hazelight,Electronic Arts,199.0,199.0,0.0,
jade empire,,,,,,,,,,,,Jade Empire: Special Edition,BioWare,Electronic Arts,18.29,73.29,75.0,88.0,,,,,,,
jagged alliance 2,,,,,,,,,,,,Jagged Alliance 2,Sir-Tech Software,Strategy First,5.29,10.49,50.0,94.0,,,,,,,
kingdom come deliverance ii,,,,,,,,,,,,,,,,,,,Kingdom Come: Deliverance II,Warhorse Studios,Deep Silver,299.0,299.0,0.0,
last epoch,Last Epoch,Eleventh Hour Games,Eleventh Hour Games,99.99,99.99,0.0,5831.0,88027.0,35000000.0,79.57,1619.0,,,,,,,,,,,,,,
left 4 dead 2,Left 4 Dead 2,Valve,Valve,32.99,32.99,0.0,25122.0,940221.0,75000000.0,97.54,207.0,,,,,,,,,,,,,,
lethal company,Lethal Company,Zeekerss,Zeekerss,32.99,32.99,0.0,6199.0,473422.0,15000000.0,97.18,180.0,,,,,,,,,,,,,,
life is strange 2,Life is Strange 2,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",31.96,31.96,0.0,153.0,31616.0,15000000.0,86.3,601.0,,,,,,,,,,,,,,
lost ark,Lost Ark,Smilegate RPG,Amazon Games,0.0,0.0,0.0,17355.0,143481.0,75000000.0,71.02,1889.0,,,,,,,,,,,,,,
mafia trilogy,,,,,,,,,,,,,,,,,,,Mafia: Trilogy,"2K Games, Inc.",Unknown,279.9,279.9,0.0,
manor lords,,,,,,,,,,,,,,,,,,,Manor Lords,Slavic Magic,Hooded Horse,79.99,79.99,0.0,
marvels spiderman,,,,,,,,,,,,,,,,,,,Marvel's Spider-Man Remastered,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,249.9,249.9,0.0,
marvels spiderman 2,,,,,,,,,,,,,,,,,,,Marvel’s Spider-Man 2,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,249.9,249.9,0.0,
marvels spiderman miles morales,,,,,,,,,,,,,,,,,,,Marvel’s Spider-Man: Miles Morales,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,199.9,199.9,0.0,
master of orion 12,,,,,,,,,,,,Master of Orion 1+2,SimTex,Wargaming Labs,4.79,11.99,60.0,96.0,,,,,,,
